iter	Passed	Remaining
253	618	1816
254	620	1814
255	623	1813
256	626	1810
257	629	1809
258	631	1807
259	634	1804
260	636	1802
261	639	1801
262	641	1798
263	644	1796
264	646	1794
265	649	1791
266	651	1788
267	653	1785
268	655	1781
269	657	1777
270	659	1774
271	661	1771
272	663	1767
273	666	1765
274	668	1761
275	671	1762
276	673	1758
277	675	1755
278	678	1752
279	680	1748
280	682	1745
281	684	1742
282	686	1738
283	688	1735
284	690	1731
285	692	1728
286	694	1724
287	696	1721
288	698	1718
289	700	1715
290	702	1712
291	705	1709
292	707	1705
293	709	1702
294	711	1699
295	714	1698
296	716	1696
297	719	1694
298	721	1691
299	723	1687
300	725	1684
301	727	1680
302	729	1677
303	731	1673
304	733	1671
305	735	1668
306	737	1665
307	740	1664
308	742	1660
309	744	1657
310	746	1654
311	748	1651
312	750	1648
313	753	1645
314	755	1642
315	757	1639
316	772	1663
317	774	1659
318	775	1656
319	777	1653
320	780	1650
321	782	1646
322	783	1643
323	786	1640
324	788	1637
325	790	1634
326	792	1631
327	794	1628
328	796	1625
329	798	1621
330	801	1619
331	803	1615
332	805	1613
333	807	1610
334	809	1607
335	811	1604
336	814	1601
337	816	1600
338	819	1597
339	821	1594
340	823	1590
341	825	1587
342	827	1585
343	829	1582
344	831	1578
345	833	1576
346	835	1573
347	837	1569
348	839	1566
349	841	1562
350	843	1559
351	846	1558
352	849	1556
353	851	1553
354	861	1564
355	863	1562
356	865	1559
357	867	1556
358	869	1552
359	871	1549
360	873	1546
361	875	1543
362	877	1540
363	880	1537
364	882	1534
365	884	1531
366	886	1529
367	889	1526
368	890	1523
369	893	1521
370	895	1518
371	897	1515
372	900	1513
373	902	1511
374	905	1508
375	907	1506
376	910	1503
377	911	1500
378	914	1498
379	916	1494
380	918	1491
381	920	1489
382	922	1486
383	924	1482
384	927	1480
385	928	1477
386	930	1474
387	933	1472
388	935	1470
389	937	1466
390	940	1464
391	942	1461
392	944	1458
393	946	1455
394	948	1452
395	950	1449
396	952	1446
397	954	1443
398	956	1440
399	958	1437
400	960	1435
401	962	1432
402	965	1430
403	967	1427
404	969	1423
405	971	1420
406	972	1417
407	975	1414
408	976	1411
409	978	1408
410	981	1406
411	983	1402
412	985	1400
413	987	1397
414	989	1394
415	991	1391
416	993	1388
417	995	1386
418	997	1383
419	999	1380
420	1001	1377
421	1003	1374
422	1005	1371
423	1007	1368
424	1009	1365
425	1011	1363
426	1014	1360
427	1016	1357
428	1018	1355
429	1020	1352
430	1022	1349
431	1024	1347
432	1026	1344
433	1028	1341
434	1030	1338
435	1032	1335
436	1034	1332
437	1036	1329
438	1038	1327
439	1040	1324
440	1042	1321
441	1044	1318
442	1047	1316
443	1049	1314
444	1051	1311
445	1053	1309
446	1055	1306
447	1057	1303
448	1060	1300
449	1062	1298
450	1064	1295
451	1066	1293
452	1069	1291
453	1071	1288
454	1073	1285
455	1075	1282
456	1077	1279
457	1078	1276
458	1081	1274
459	1083	1271
460	1085	1269
461	1088	1267
462	1090	1264
463	1092	1262
464	1095	1260
465	1097	1257
466	1099	1254
467	1102	1253
468	1104	1250
469	1106	1247
470	1109	1245
471	1110	1242
472	1113	1240
473	1116	1238
474	1117	1235
475	1120	1233
476	1122	1230
477	1124	1227
478	1126	1225
479	1128	1222
480	1130	1219
481	1132	1216
482	1134	1214
483	1136	1211
484	1138	1208
485	1140	1205
486	1142	1203
487	1144	1200
488	1145	1197
489	1148	1195
490	1150	1192
491	1152	1190
492	1155	1188
493	1158	1186
494	1160	1183
495	1162	1181
496	1164	1178
497	1166	1175
498	1168	1173
499	1170	1170
500	1172	1167
501	1175	1165
502	1177	1163
503	1179	1160
504	1181	1157
505	1183	1155
506	1185	1152
507	1187	1150
508	1189	1147
509	1191	1144
510	1193	1141
511	1195	1139
512	1197	1137
513	1199	1134
514	1202	1132
515	1204	1129
516	1206	1126
517	1208	1124
518	1210	1121
519	1212	1119
520	1214	1116
521	1216	1114
522	1218	1111
523	1221	1109
524	1222	1106
525	1225	1104
526	1227	1101
527	1229	1099
528	1231	1096
529	1234	1094
530	1236	1091
531	1238	1089
532	1240	1086
533	1242	1084
534	1244	1081
535	1246	1078
536	1248	1076
537	1251	1074
538	1252	1071
539	1255	1069
540	1256	1066
541	1258	1063
542	1261	1061
543	1263	1058
544	1265	1056
545	1267	1053
546	1269	1051
547	1271	1048
548	1273	1046
549	1275	1043
550	1278	1041
551	1279	1038
552	1282	1036
553	1284	1033
554	1286	1031
555	1288	1028
556	1290	1026
557	1292	1023
558	1294	1020
559	1296	1018
560	1298	1015
561	1300	1013
562	1302	1011
563	1304	1008
564	1306	1005
565	1309	1003
566	1310	1001
567	1312	998
568	1315	996
569	1317	993
570	1319	991
571	1321	988
572	1323	986
573	1325	983
574	1327	981
575	1329	978
576	1331	976
577	1333	973
578	1335	971
579	1337	968
580	1339	965
581	1341	963
582	1343	961
583	1345	958
584	1347	956
585	1366	965
586	1368	963
587	1371	960
588	1372	958
589	1375	955
590	1377	953
591	1379	950
592	1381	948
593	1384	945
594	1385	943
595	1387	940
596	1390	938
597	1392	936
598	1394	933
599	1396	931
600	1399	928
601	1401	926
602	1403	923
603	1405	921
604	1407	918
605	1409	916
606	1412	914
607	1414	911
608	1416	909
609	1418	906
610	1420	904
611	1421	901
612	1423	898
613	1425	896
614	1427	893
615	1430	891
616	1431	888
617	1433	886
618	1435	883
619	1437	881
620	1439	878
621	1441	875
622	1444	873
623	1446	871
624	1448	868
625	1450	866
626	1452	863
627	1454	861
628	1457	859
629	1459	857
630	1461	854
631	1471	856
632	1473	854
633	1475	851
634	1478	849
635	1480	847
636	1482	844
637	1484	842
638	1486	840
639	1488	837
640	1491	835
641	1492	832
642	1494	829
643	1497	827
644	1499	825
645	1501	822
646	1503	820
647	1505	817
648	1507	815
649	1509	812
650	1511	810
651	1513	807
652	1515	805
653	1518	803
654	1519	800
655	1521	798
656	1523	795
657	1526	793
658	1527	790
659	1530	788
660	1532	785
661	1534	783
662	1536	780
663	1538	778
664	1540	775
665	1542	773
666	1544	771
667	1546	768
668	1548	766
669	1551	763
670	1553	761
671	1554	758
672	1556	756
673	1558	753
674	1560	751
675	1562	749
676	1565	746
677	1566	744
678	1568	741
679	1571	739
680	1573	737
681	1575	734
682	1577	732
683	1579	729
684	1581	727
685	1583	724
686	1585	722
687	1587	719
688	1590	717
689	1592	715
690	1594	713
691	1597	710
692	1599	708
693	1602	706
694	1605	704
695	1607	702
696	1609	699
697	1612	697
698	1613	694
699	1615	692
700	1617	690
701	1619	687
702	1621	685
703	1624	682
704	1626	680
705	1628	677
706	1630	675
707	1632	673
708	1634	670
709	1636	668
710	1638	666
711	1640	663
712	1642	661
713	1645	658
714	1647	656
715	1649	654
716	1651	651
717	1653	649
718	1654	646
719	1656	644
720	1658	641
721	1660	639
722	1662	637
723	1665	635
724	1668	632
725	1671	630
726	1673	628
727	1675	625
728	1677	623
729	1679	621
730	1681	618
731	1683	616
732	1685	614
733	1687	611
734	1689	609
735	1692	607
736	1694	604
737	1696	602
738	1699	600
739	1701	597
740	1703	595
741	1705	593
742	1707	590
743	1709	588
744	1711	585
745	1713	583
746	1715	580
747	1717	578
748	1719	576
749	1721	573
750	1723	571
751	1725	569
752	1727	566
753	1729	564
754	1731	561
755	1733	559
756	1735	557
757	1737	554
758	1739	552
759	1742	550
760	1744	547
761	1746	545
762	1748	543
763	1750	540
764	1752	538
765	1754	536
766	1757	533
767	1759	531
768	1761	529
769	1763	526
770	1765	524
771	1767	522
772	1769	519
773	1771	517
774	1773	514
775	1775	512
776	1777	510
777	1779	507
778	1781	505
779	1783	502
780	1785	500
781	1787	498
782	1789	496
783	1792	493
784	1794	491
785	1796	489
786	1799	487
787	1801	484
788	1803	482
789	1806	480
790	1808	477
791	1810	475
792	1812	473
793	1814	470
794	1816	468
795	1819	466
796	1820	463
797	1822	461
798	1824	459
799	1826	456
800	1829	454
801	1831	452
802	1833	449
803	1835	447
804	1837	445
805	1839	442
806	1841	440
807	1843	438
808	1846	435
809	1848	433
810	1850	431
811	1853	429
812	1855	426
813	1857	424
814	1859	422
815	1861	419
816	1863	417
817	1865	415
818	1867	412
819	1869	410
820	1872	408
821	1874	405
822	1876	403
823	1878	401
824	1880	398
825	1882	396
826	1886	394
827	1888	392
828	1891	390
829	1893	387
830	1895	385
831	1898	383
832	1900	381
833	1902	378
834	1905	376
835	1907	374
836	1909	371
837	1912	369
838	1914	367
839	1917	365
840	1920	363
841	1922	360
842	1924	358
843	1926	356
844	1929	353
845	1931	351
846	1934	349
847	1936	347
848	1938	344
849	1940	342
850	1942	340
851	1943	337
852	1946	335
853	1948	333
854	1950	330
855	1952	328
856	1954	326
857	1956	323
858	1958	321
859	1960	319
860	1962	316
861	1964	314
862	1966	312
863	1968	309
864	1970	307
865	1972	305
866	1974	302
867	1976	300
868	1978	298
869	1980	295
870	1982	293
871	1984	291
872	1986	288
873	1988	286
874	1990	284
875	1992	282
876	1994	279
877	1997	277
878	1999	275
879	2000	272
880	2002	270
881	2004	268
882	2007	265
883	2008	263
884	2010	261
885	2013	259
886	2014	256
887	2016	254
888	2018	252
889	2020	249
890	2023	247
891	2024	245
892	2027	242
893	2029	240
894	2030	238
895	2033	236
896	2035	233
897	2037	231
898	2039	229
899	2041	226
900	2043	224
901	2045	222
902	2047	219
903	2049	217
904	2051	215
905	2053	213
906	2055	210
907	2057	208
908	2059	206
909	2061	203
910	2063	201
911	2065	199
912	2067	197
913	2070	194
914	2072	192
915	2075	190
916	2076	187
917	2078	185
918	2081	183
919	2083	181
920	2085	178
921	2096	177
922	2098	175
923	2100	172
924	2102	170
925	2104	168
926	2106	165
927	2108	163
928	2110	161
929	2112	159
930	2114	156
931	2116	154
932	2119	152
933	2121	149
934	2123	147
935	2125	145
936	2128	143
937	2130	140
938	2132	138
939	2134	136
940	2136	133
941	2138	131
942	2140	129
943	2142	127
944	2144	124
945	2146	122
946	2148	120
947	2150	117
948	2152	115
949	2154	113
950	2156	111
951	2158	108
952	2161	106
953	2163	104
954	2165	102
955	2167	99
956	2169	97
957	2171	95
958	2173	92
959	2175	90
960	2177	88
961	2179	86
962	2181	83
963	2183	81
964	2186	79
965	2188	77
966	2190	74
967	2192	72
968	2194	70
969	2197	67
970	2198	65
971	2201	63
972	2203	61
973	2204	58
974	2207	56
975	2209	54
976	2211	52
977	2212	49
978	2215	47
979	2217	45
980	2220	43
981	2222	40
982	2224	38
983	2226	36
984	2228	33
985	2230	31
986	2232	29
987	2235	27
988	2236	24
989	2238	22
990	2241	20
991	2242	18
992	2245	15
993	2247	13
994	2250	11
995	2252	9
996	2254	6
997	2257	4
998	2259	2
999	2261	0
