iter	RMSE
375	11809.02655
376	11779.72654
377	11769.54929
378	11749.63906
379	11735.4305
380	11708.6079
381	11691.8882
382	11667.21378
383	11633.73659
384	11605.38768
385	11576.48506
386	11559.69852
387	11540.97549
388	11516.73994
389	11504.46282
390	11490.59864
391	11468.97696
392	11449.71985
393	11445.77212
394	11427.63174
395	11404.7129
396	11382.2043
397	11367.89661
398	11347.91155
399	11322.2987
400	11298.57182
401	11291.93126
402	11272.82267
403	11239.17525
404	11222.4698
405	11218.09241
406	11209.83811
407	11179.30899
408	11163.81646
409	11147.83389
410	11112.2324
411	11077.57562
412	11061.17298
413	11051.43231
414	11046.82281
415	11037.19292
416	11013.67492
417	10994.20402
418	10980.56404
419	10958.60609
420	10937.38709
421	10932.75189
422	10928.70143
423	10911.33208
424	10902.90654
425	10900.03813
426	10884.40782
427	10860.938
428	10835.75126
429	10806.67606
430	10804.82552
431	10789.42375
432	10775.16752
433	10752.95226
434	10748.74216
435	10740.21776
436	10735.1319
437	10724.52721
438	10721.33002
439	10718.77807
440	10700.85907
441	10684.43557
442	10678.34053
443	10653.8677
444	10641.97251
445	10627.58851
446	10619.38241
447	10591.34152
448	10571.60844
449	10555.25813
450	10551.45403
451	10530.90813
452	10510.01629
453	10507.20715
454	10484.21552
455	10467.78307
456	10456.98778
457	10445.80769
458	10429.81415
459	10415.6879
460	10412.76677
461	10388.89552
462	10370.30338
463	10349.07835
464	10340.92705
465	10319.40996
466	10317.07892
467	10293.62618
468	10282.28915
469	10263.04756
470	10260.68198
471	10243.89835
472	10227.82995
473	10212.28547
474	10187.48265
475	10174.77161
476	10158.33431
477	10141.5484
478	10128.09177
479	10125.42552
480	10114.60729
481	10096.23794
482	10076.18215
483	10054.18278
484	10039.44075
485	10017.2552
486	10015.52337
487	9996.225656
488	9986.308358
489	9975.976
490	9967.248841
491	9965.033885
492	9952.922876
493	9942.684296
494	9937.174149
495	9920.664355
496	9892.527955
497	9872.065206
498	9859.697647
499	9851.050658
500	9834.130231
501	9827.054056
502	9815.006972
503	9799.730153
504	9787.13867
505	9771.607021
506	9752.711222
507	9732.463161
508	9717.825169
509	9714.360744
510	9702.240468
511	9688.730029
512	9673.140227
513	9671.459162
514	9655.128981
515	9629.14503
516	9608.993833
517	9589.329195
518	9576.480798
519	9574.952936
520	9555.780894
521	9536.675562
522	9524.652427
523	9504.49154
524	9491.409263
525	9487.500325
526	9471.743672
527	9464.22277
528	9455.758994
529	9443.021373
530	9433.897008
531	9406.755808
532	9390.28132
533	9373.664304
534	9355.168219
535	9351.503455
536	9339.011686
537	9329.070423
538	9318.523818
539	9306.722124
540	9304.948095
541	9293.730076
542	9275.337562
543	9266.099628
544	9261.605005
545	9244.39819
546	9219.615628
547	9205.713103
548	9190.505641
549	9182.53386
550	9169.650945
551	9155.617916
552	9149.43172
553	9138.047175
554	9119.461121
555	9100.980057
556	9087.643618
557	9069.788813
558	9064.452383
559	9046.92814
560	9045.058504
561	9034.549766
562	9027.125943
563	9021.952543
564	9013.045198
565	8994.79718
566	8980.563447
567	8975.152106
568	8964.889754
569	8946.428449
570	8933.80851
571	8920.119508
572	8900.462429
573	8893.305224
574	8881.641907
575	8859.472644
576	8841.246829
577	8827.630597
578	8816.546208
579	8809.076742
580	8807.033516
581	8805.663903
582	8802.806222
583	8788.585516
584	8774.04057
585	8770.054803
586	8756.414651
587	8736.260514
588	8735.382587
589	8724.950311
590	8723.106776
591	8711.598162
592	8700.023725
593	8699.14652
594	8695.177286
595	8694.331101
596	8675.474675
597	8674.236821
598	8655.047118
599	8645.583815
600	8635.258716
601	8622.826865
602	8615.514358
603	8602.65521
604	8589.467843
605	8578.121009
606	8576.493251
607	8569.108478
608	8563.986727
609	8552.183443
610	8548.554997
611	8547.723519
612	8543.973039
613	8530.946178
614	8513.902007
615	8505.219816
616	8497.657508
617	8485.126639
618	8471.751332
619	8466.519565
620	8453.685277
621	8439.840929
622	8430.900165
623	8411.076316
624	8401.754513
625	8394.229347
626	8381.047225
627	8359.229344
628	8355.354621
629	8340.934866
630	8332.290674
631	8312.920147
632	8297.072459
633	8285.447929
634	8275.623518
635	8265.004511
636	8249.42708
637	8231.255546
638	8223.621742
639	8211.204217
640	8200.551049
641	8196.27001
642	8184.31517
643	8180.71563
644	8166.896919
645	8165.950637
646	8153.354329
647	8141.66607
648	8128.220019
649	8115.548129
650	8096.02018
651	8085.218987
652	8071.603996
653	8070.060452
654	8055.165792
655	8043.894599
656	8031.777327
657	8009.538492
658	8008.853738
659	8002.305016
660	7990.750606
661	7975.122354
662	7967.393488
663	7951.802554
664	7951.141752
665	7937.756233
666	7926.44899
667	7922.058471
668	7915.233711
669	7900.760671
670	7892.663785
671	7878.349071
672	7871.171082
673	7858.173608
674	7844.384759
675	7838.869601
676	7823.284571
677	7815.423767
678	7807.40002
679	7796.790259
680	7788.952128
681	7784.230025
682	7772.061208
683	7761.361337
684	7759.50958
685	7758.985026
686	7745.65456
687	7731.551163
688	7717.642463
689	7705.123757
690	7701.162097
691	7687.77433
692	7676.429078
693	7664.456722
694	7647.043501
695	7644.404642
696	7630.844429
697	7621.221252
698	7613.475366
699	7609.206005
700	7599.444437
701	7590.557701
702	7582.713524
703	7565.5908
704	7553.129665
705	7545.058253
706	7531.996009
707	7520.966681
708	7502.348539
709	7485.753869
710	7469.500406
711	7461.247668
712	7451.213497
713	7446.801067
714	7439.2925
715	7429.412447
716	7420.856107
717	7409.986212
718	7408.310565
719	7397.423894
720	7389.911587
721	7380.314515
722	7373.820413
723	7366.265687
724	7353.969107
725	7341.173141
726	7335.840993
727	7324.757822
728	7309.723977
729	7291.608714
730	7274.508319
731	7264.987585
732	7255.082025
733	7245.74434
734	7232.276688
735	7226.440259
736	7219.689306
737	7207.563671
738	7195.798372
739	7184.113585
740	7175.174594
741	7160.698023
742	7151.209442
743	7140.143583
744	7133.841232
745	7124.847738
746	7116.328276
747	7102.235101
748	7091.398645
749	7090.938777
750	7076.081543
751	7066.454004
752	7060.542041
753	7045.525145
754	7041.693563
755	7030.765522
756	7015.863622
757	7010.282536
758	7002.301651
759	6988.528317
760	6970.986226
761	6962.887459
762	6953.281742
763	6947.056973
764	6931.969507
765	6927.77005
766	6922.109789
767	6919.903309
768	6911.066184
769	6907.541676
770	6897.45757
771	6889.855531
772	6879.407162
773	6878.902281
774	6868.871565
775	6855.009644
776	6849.493174
777	6842.363789
778	6837.067442
779	6836.342386
780	6820.994129
781	6806.865943
782	6794.459783
783	6783.525513
784	6770.166027
785	6756.110564
786	6755.098938
787	6754.608384
788	6753.705295
789	6744.921353
790	6735.081157
791	6725.671581
792	6718.361671
793	6706.308998
794	6695.616872
795	6686.146825
796	6670.482372
797	6661.176992
798	6645.903566
799	6632.789938
800	6628.318435
801	6622.606985
802	6611.897926
803	6606.757501
804	6594.123806
805	6593.075523
806	6580.152643
807	6568.920212
808	6560.390666
809	6551.453928
810	6538.479631
811	6537.901641
812	6528.158603
813	6520.887813
814	6513.236426
815	6499.991019
816	6492.176884
817	6485.669914
818	6477.515501
819	6464.624978
820	6453.294569
821	6438.369924
822	6438.006528
823	6431.074591
824	6420.333736
825	6406.81935
826	6394.403496
827	6386.947224
828	6378.300461
829	6369.757307
830	6367.097261
831	6363.371315
832	6353.336204
833	6345.878035
834	6342.829542
835	6339.505298
836	6327.341844
837	6319.090136
838	6307.225289
839	6306.877893
840	6299.553713
841	6292.384183
842	6278.80157
843	6267.519844
844	6258.410968
845	6251.210859
846	6246.028593
847	6238.674333
848	6233.914979
849	6228.024334
850	6222.13706
851	6215.456042
852	6207.479563
853	6206.221825
854	6196.066429
855	6195.190504
856	6182.655461
857	6176.247704
858	6165.319563
859	6154.320065
860	6149.628663
861	6139.642257
862	6130.58211
863	6125.328542
864	6115.198854
865	6111.793771
866	6108.641048
867	6108.130836
868	6097.637343
869	6088.695051
870	6084.727637
871	6083.027297
872	6075.257074
873	6064.864463
874	6055.447855
875	6055.053299
876	6052.047816
877	6044.057851
878	6039.620321
879	6037.428118
880	6028.627664
881	6022.376566
882	6015.080297
883	6006.738637
884	6002.013501
885	5996.912725
886	5984.551812
887	5978.962869
888	5971.351668
889	5963.776147
890	5958.378759
891	5958.005595
892	5952.577105
893	5947.338446
894	5943.399424
895	5933.086011
896	5923.987706
897	5919.115805
898	5916.319741
899	5906.562253
900	5899.267536
901	5893.979326
902	5883.40545
903	5882.949583
904	5872.375214
905	5869.888141
906	5861.708243
907	5855.689435
908	5849.135686
909	5843.036163
910	5837.05946
911	5828.553039
912	5820.518899
913	5811.079114
914	5804.065865
915	5788.995296
916	5782.222724
917	5781.832917
918	5779.008281
919	5771.925715
920	5767.113464
921	5763.604388
922	5751.729505
923	5740.633312
924	5738.131916
925	5725.910309
926	5717.1536
927	5707.586913
928	5701.290435
929	5694.246604
930	5687.743725
931	5686.260143
932	5676.933647
933	5668.089313
934	5667.093303
935	5659.427753
936	5651.432548
937	5645.288096
938	5637.1772
939	5634.371329
940	5621.741489
941	5618.16768
942	5611.288973
943	5609.2893
944	5597.957711
945	5587.132881
946	5576.1982
947	5569.397587
948	5567.696597
949	5565.339924
950	5552.245444
951	5544.901569
952	5540.72319
953	5529.815485
954	5525.453406
955	5520.811859
956	5520.430975
957	5517.539123
958	5508.549353
959	5495.249273
960	5491.26918
961	5484.545428
962	5482.283149
963	5474.276635
964	5468.356232
965	5467.996108
966	5466.171558
967	5454.628425
968	5447.61031
969	5439.807905
970	5430.958146
971	5424.763724
972	5421.58626
973	5411.503045
974	5400.264653
975	5395.923155
976	5387.014995
977	5381.068586
978	5377.038124
979	5368.638656
980	5358.901132
981	5355.691971
982	5347.760481
983	5347.382636
984	5345.896266
985	5338.986092
986	5332.551944
987	5319.244955
988	5312.991706
989	5306.220211
990	5305.862626
991	5305.537019
992	5304.666089
993	5296.51024
994	5293.960696
995	5279.109425
996	5271.826645
997	5266.244567
998	5256.255002
999	5255.642578
